TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,lipson2020_fig5a,50,treemix,55,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,56,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,57,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,58,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,59,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,5,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,60,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,61,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,62,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,63,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,64,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,65,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,66,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,67,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,68,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,69,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,6,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,70,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,71,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,72,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,73,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,74,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,75,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,76,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,77,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,78,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,79,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,7,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,80,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,81,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,82,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,83,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,84,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,85,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,86,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,87,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,88,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,89,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,8,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,90,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,91,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,92,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,93,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,94,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,95,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,96,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,97,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,98,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,99,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,9,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix-mlno,100,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,101,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,102,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,103,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,104,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,105,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,106,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,107,120.56042911,121.251029481,6
cov,lipson2020_fig5a,50,treemix-mlno,108,120.56042911,121.251029481,6
